time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),drag_coefficient (unitless),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),lift (lbf),lift_coefficient (unitless),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,34.99999999999935,0.06071927954259725,1560.3196637633516,8452.511355849847,0.08807559342866955,0.0,-9545.546444313823,126240.76956648465,1.315435167888295,0.2305848456212401,0.004927509095743946,57261.84991929712,16.00582842802205,0.8860190939869509,30063.045440001675,78.44963904182559
54.24674132104367,826.5966050381858,29.12431878028668,7967.417746650399,6447.844762395371,0.01827945407052061,0.0,-11398.295881444046,126080.80825363933,0.3574354576722666,0.44845750900873393,0.0031051453303745724,57189.292688217996,25.24288445422018,0.999458563549456,27348.72714500846,152.15847903815543
129.09617242758466,4507.335078113921,69.2261541267567,21383.436821903164,8469.75894866145,0.01606042941231294,0.0,-11124.923918464994,125840.97307527624,0.23862073023597122,0.5867717957384401,0.0005906552838700173,57080.505281139,27.18523748982331,0.9419388883725631,24518.61727365138,196.53829454717643
152.7857614571903,6297.60946221725,81.91824790284107,26023.268080357408,8162.067908079189,0.016297439074406495,0.0,-10530.63280990027,125770.11733706626,0.25112886192148387,0.5913377634351981,-0.00020517221862547083,57048.36565888198,25.932387278067864,0.9326766552993159,23242.691226899384,196.806289818524
152.7857614571903,6297.609462218072,81.91824790284102,26023.268080357408,8162.0679080793525,0.016297439074406492,0.0,-10530.632809900226,125770.11733706626,0.25112886192147876,0.5913377634352133,-0.00020517221862547327,57048.36565888198,25.932387278067576,0.9326766552993208,23242.691226899162,196.8062898185285
268.25208028641873,14618.482903867816,62.20816967103327,47923.44246786282,6482.641120896769,0.018757720578049655,0.0,-8352.067027305382,125468.30627846594,0.3630463859839658,0.5775415126915641,-3.379358341162973e-05,56911.4664653734,18.75531000723809,0.9999387190950547,19107.078072873832,186.38487585031783
427.5720332617611,22363.062004820997,35.01228459500329,77209.7909079061,5869.774806860505,0.02233957682256367,0.0,-5967.994927598119,125154.09991843473,0.47631974339439526,0.5909945190665017,0.00020267395430930164,56768.94485770591,11.871736440837038,0.9998299032316331,13898.778795599175,185.00571917310972
477.99625365202303,23911.518325281188,26.404879953136444,86588.98721665719,5837.973091056469,0.02279983427511413,0.0,-5315.481263161891,125074.82410783817,0.48847180642480575,0.603101098960263,0.0002775151214983759,56732.98595485543,10.681489588713866,0.9425916304342221,12304.611532795847,187.6070824082762
477.99625365202303,23911.518325284793,26.40487995313659,86588.98721665719,5837.973091056284,0.02279983427511581,0.0,-5315.481263161776,125074.82410783817,0.48847180642485705,0.6031010989602782,0.00027751512149838453,56732.98595485543,10.681489588711065,0.9425916304343821,12304.611532795656,187.60708240827816
627.8024905758032,27510.591129569042,21.64482582934592,115369.66782318061,5828.793502471635,0.023535580503052902,0.0,-4822.956363031834,124863.98033128062,0.5041774528077425,0.6417529817262985,0.0002385098926762389,56637.348826445035,8.262488142115336,0.9870071663660538,10948.20932001113,196.66041223224093
