time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),drag_coefficient (unitless),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),lift (lbf),lift_coefficient (unitless),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0,8.333324117199082,1.0,10456.489176976682,0.14464649320166048,0.0,-4789.635479290579,121708.85342378591,1.6836204333389515,0.2,0.00013541651690448514,55206.20733329889,13.874779529127995,0.4747349726295785,15571.032276414287,68.0522432380756
160.16148572361902,1334.6775716270722,8.333324117199085,11457.247503236365,8865.212842885212,0.10476756367448775,0.0,-4360.056562736129,121505.79308871986,1.4359346064046237,0.22168851053893995,0.00013541651690448524,55114.100714565146,15.307269717803258,0.43823515108612143,13543.814717226855,75.08511871833294
381.1516466006345,3176.2602089272095,8.333324117199082,29103.43104992368,7423.146626402758,0.07286066727895944,0.0,-3976.068041809057,121251.17000941455,1.1901207937639313,0.25161422839506714,0.00013541651690448508,54998.60562844329,16.77345669137933,0.4072279769686073,11623.78281793846,84.67469361045431
451.09427693687786,3759.114817128566,8.33332411719908,35128.43235639347,7094.357847298284,0.06608309740084166,0.0,-3885.161036267414,121174.65090388097,1.1287274240393235,0.2610856157783392,0.00013541651690448508,54963.89714597706,17.121479067727826,0.4010047517551462,11166.521650990318,87.68195348456256
451.09427693687786,3759.114817128566,8.33332411719908,35128.43235639347,7094.357847298284,0.06608309740084166,0.0,-3885.161036267414,121174.65090388097,1.1287274240393235,0.2610856157783392,0.00013541651690448508,54963.89714597706,17.121479067727826,0.4010047517551462,11166.521650990318,87.68195348456256
778.189553884098,6484.905777134749,8.333324117199078,66076.56583146275,6085.9762023223475,0.04588945385362248,0.0,-3609.693534635455,120835.14309387354,0.9111206712879094,0.30537971887843973,0.00013541651690448508,54809.89899363819,18.21247674697812,0.3869869946194891,9662.794366786573,101.56667726795501
1229.5142749810016,10245.94096013972,8.333324117199076,116136.909667067,5542.5471457475305,0.033513007638183955,0.0,-3442.6863342626843,120395.65320032836,0.7279722371694087,0.36649654060227044,0.000135416516904485,54610.549731021594,18.658793980410326,0.39023483658834074,8631.363367522536,120.2340635203248
1372.3570060963311,11436.295736309681,8.333324117199076,133721.89953648514,5482.875898527593,0.031333060186019834,0.0,-3405.7410033841047,120259.1616746861,0.6872465509724807,0.38583980571503235,0.00013541651690448495,54548.63821635463,18.314300060183825,0.37843414104881773,8449.1079441841,126.02200359480582
1372.3570060963311,11436.295736309681,8.333324117199076,133721.89953648514,5482.875898527593,0.031333060186019834,0.0,-3405.7410033841047,120259.1616746861,0.6872465509724807,0.38583980571503235,0.00013541651690448495,54548.63821635463,18.314300060183825,0.37843414104881773,8449.1079441841,126.02200359480582
1761.2409273563817,14676.99149613701,8.333324117199078,185740.85505237992,5415.266863089493,0.02724535920290872,0.0,-3323.824592352345,119896.40277217216,0.6032242996055774,0.4385011118122265,0.00013541651690448503,54384.09354584941,17.176636730034076,0.3349999416849361,8101.922337670216,141.4819928556303
